"CustomerID","last_purchase_date","frequency","monetary","r_score","f_score","m_score","rfm_total","segment"
17230.0,"2011-03-20 16:12:00",11,3466.67,5,5,5,15,"Champions"
17504.0,"2011-05-17 12:59:00",10,2745.28,5,5,5,15,"Champions"
17850.0,"2011-02-10 14:38:00",35,5288.630000000007,5,5,5,15,"Champions"
13093.0,"2011-03-17 17:16:00",13,7741.47,5,5,5,15,"Champions"
15235.0,"2011-05-06 09:44:00",12,2247.5100000000007,5,5,5,15,"Champions"
15032.0,"2011-03-28 15:30:00",5,4464.1,5,4,5,14,"Champions"
12755.0,"2011-04-04 10:12:00",4,2203.1999999999994,5,4,5,14,"Champions"
13715.0,"2011-03-03 19:21:00",8,1053.9399999999996,5,5,4,14,"Champions"
17819.0,"2011-09-29 10:52:00",8,3661.0699999999993,4,5,5,14,"Champions"
14364.0,"2011-08-23 11:01:00",8,3717.3499999999985,4,5,5,14,"Champions"
18094.0,"2011-09-19 09:28:00",7,3017.2999999999997,4,5,5,14,"Champions"
13631.0,"2011-09-01 09:57:00",12,3021.77,4,5,5,14,"Champions"
16180.0,"2011-08-31 16:28:00",10,10217.479999999996,4,5,5,14,"Champions"
18073.0,"2011-08-17 14:02:00",13,3864.4400000000023,4,5,5,14,"Champions"
15410.0,"2011-09-16 14:47:00",8,3450.8400000000015,4,5,5,14,"Champions"
18231.0,"2011-05-31 14:18:00",6,2066.1700000000014,5,4,5,14,"Champions"
12980.0,"2011-07-07 11:42:00",12,7092.060000000001,4,5,5,14,"Champions"
16919.0,"2011-07-06 13:35:00",11,2596.45,4,5,5,14,"Champions"
16098.0,"2011-09-13 09:59:00",7,2005.63,4,5,5,14,"Champions"
16553.0,"2011-06-29 15:42:00",14,5664.569999999999,4,5,5,14,"Champions"
12754.0,"2011-04-18 09:00:00",5,2949.1199999999994,5,4,5,14,"Champions"
16735.0,"2011-09-22 11:49:00",7,2269.209999999998,4,5,5,14,"Champions"
15749.0,"2011-04-18 13:20:00",4,21535.9,5,4,5,14,"Champions"
15379.0,"2011-06-23 13:13:00",8,3631.890000000001,4,5,5,14,"Champions"
18260.0,"2011-06-20 12:37:00",8,2595.0,4,5,5,14,"Champions"
15581.0,"2011-08-11 09:38:00",14,3429.9700000000003,4,5,5,14,"Champions"
14573.0,"2011-06-13 11:15:00",13,1603.7200000000018,5,5,4,14,"Champions"
16928.0,"2011-09-20 15:10:00",19,2781.499999999998,4,5,5,14,"Champions"
17591.0,"2011-09-27 13:42:00",8,2215.0200000000004,4,5,5,14,"Champions"
13082.0,"2011-08-05 16:16:00",10,3595.48,4,5,5,14,"Champions"
16745.0,"2011-09-14 11:58:00",18,7170.700000000004,4,5,5,14,"Champions"
17061.0,"2011-09-27 11:24:00",12,5116.129999999999,4,5,5,14,"Champions"
15939.0,"2011-09-11 11:30:00",16,6102.259999999999,4,5,5,14,"Champions"
15658.0,"2011-06-02 15:22:00",8,958.8999999999994,5,5,4,14,"Champions"
15808.0,"2011-02-06 14:33:00",5,3724.770000000001,5,4,5,14,"Champions"
14854.0,"2011-09-22 17:00:00",8,2749.8899999999994,4,5,5,14,"Champions"
14407.0,"2011-08-24 14:02:00",9,2111.0800000000004,4,5,5,14,"Champions"
15764.0,"2011-09-19 16:16:00",10,3245.47,4,5,5,14,"Champions"
12409.0,"2011-09-22 10:38:00",7,11056.930000000002,4,5,5,14,"Champions"
16550.0,"2011-08-23 11:12:00",9,2266.25,4,5,5,14,"Champions"
15625.0,"2011-08-31 16:13:00",8,1504.5600000000002,4,5,4,13,"Champions"
15260.0,"2011-08-31 13:55:00",8,1780.77,4,5,4,13,"Champions"
14221.0,"2011-10-28 13:42:00",10,3427.8499999999995,3,5,5,13,"Loyal Customers"
17646.0,"2011-05-04 13:17:00",4,995.6599999999997,5,4,4,13,"Champions"
15596.0,"2011-08-31 10:55:00",9,1343.34,4,5,4,13,"Champions"
16725.0,"2011-02-10 16:52:00",8,775.0700000000004,5,5,3,13,"Loyal Customers"
14472.0,"2011-08-28 11:01:00",8,1936.8400000000015,4,5,4,13,"Champions"
15696.0,"2011-11-06 14:02:00",12,2644.460000000001,3,5,5,13,"Loyal Customers"
12853.0,"2011-08-24 11:00:00",9,1881.6999999999998,4,5,4,13,"Champions"
17965.0,"2011-11-02 09:31:00",14,2622.569999999999,3,5,5,13,"Loyal Customers"
15777.0,"2011-04-12 16:43:00",5,1021.6100000000001,5,4,4,13,"Champions"
15797.0,"2011-08-18 17:04:00",4,2207.4,4,4,5,13,"Champions"
12678.0,"2011-10-28 13:04:00",13,17588.26,3,5,5,13,"Loyal Customers"
13027.0,"2011-08-18 09:39:00",6,6912.0,4,4,5,13,"Champions"
14532.0,"2011-04-17 13:05:00",4,932.8499999999999,5,4,4,13,"Champions"
13722.0,"2011-08-11 15:26:00",4,2369.1600000000003,4,4,5,13,"Champions"
17696.0,"2011-11-01 13:43:00",14,2201.0500000000015,3,5,5,13,"Loyal Customers"
13911.0,"2011-10-13 15:43:00",9,2580.9100000000003,3,5,5,13,"Loyal Customers"
17770.0,"2011-05-25 12:34:00",5,1143.27,5,4,4,13,"Champions"
13869.0,"2011-08-08 13:53:00",4,3104.9500000000035,4,4,5,13,"Champions"
17400.0,"2011-08-05 15:38:00",5,2129.960000000003,4,4,5,13,"Champions"
17723.0,"2011-08-04 18:37:00",6,3276.4,4,4,5,13,"Champions"
16843.0,"2011-10-28 09:06:00",17,10183.820000000016,3,5,5,13,"Loyal Customers"
12643.0,"2011-08-03 12:56:00",6,3344.6400000000003,4,4,5,13,"Champions"
13802.0,"2011-07-24 13:26:00",6,3906.2700000000013,4,4,5,13,"Champions"
14828.0,"2011-05-27 10:16:00",3,2139.76,5,3,5,13,"Loyal Customers"
12916.0,"2011-07-24 10:35:00",5,2982.35,4,4,5,13,"Champions"
15704.0,"2011-07-22 13:35:00",4,2293.6200000000003,4,4,5,13,"Champions"
15606.0,"2011-10-13 13:32:00",11,2422.6400000000003,3,5,5,13,"Loyal Customers"
12947.0,"2011-07-19 10:06:00",11,1407.2900000000002,4,5,4,13,"Champions"
12840.0,"2011-07-19 09:29:00",6,2714.2699999999995,4,4,5,13,"Champions"
17337.0,"2011-07-11 14:56:00",7,1944.3200000000027,4,5,4,13,"Champions"
15332.0,"2010-12-08 14:43:00",4,1661.06,5,4,4,13,"Champions"
17509.0,"2011-10-13 12:16:00",11,6100.7400000000025,3,5,5,13,"Loyal Customers"
17126.0,"2011-07-10 13:52:00",7,991.8499999999998,4,5,4,13,"Champions"
17152.0,"2011-05-29 12:19:00",4,1503.5,5,4,4,13,"Champions"
17669.0,"2011-10-28 08:53:00",7,3406.72,3,5,5,13,"Loyal Customers"
14016.0,"2011-07-08 14:27:00",5,4328.460000000003,4,4,5,13,"Champions"
13475.0,"2011-06-01 13:52:00",4,1431.7800000000002,5,4,4,13,"Champions"
17204.0,"2011-06-23 13:54:00",9,1352.91,4,5,4,13,"Champions"
18168.0,"2011-06-16 19:21:00",9,1133.64,4,5,4,13,"Champions"
12383.0,"2011-06-08 08:02:00",6,1839.3099999999995,5,4,4,13,"Champions"
14740.0,"2011-06-01 15:17:00",4,1423.2099999999991,5,4,4,13,"Champions"
17874.0,"2011-06-07 12:54:00",7,658.2600000000001,5,5,3,13,"Loyal Customers"
12868.0,"2011-06-07 10:42:00",6,1607.0600000000009,5,4,4,13,"Champions"
13842.0,"2011-10-12 10:51:00",9,3385.6199999999994,3,5,5,13,"Loyal Customers"
16520.0,"2011-06-06 13:24:00",4,1036.6200000000003,5,4,4,13,"Champions"
15508.0,"2011-06-03 15:43:00",6,1000.2700000000003,5,4,4,13,"Champions"
12590.0,"2011-06-02 14:25:00",3,9861.380000000001,5,3,5,13,"Loyal Customers"
13520.0,"2011-10-12 10:20:00",8,3487.749999999999,3,5,5,13,"Loyal Customers"
15281.0,"2011-10-12 09:10:00",12,2239.9500000000003,3,5,5,13,"Loyal Customers"
16029.0,"2011-11-01 10:27:00",76,50992.61,3,5,5,13,"Loyal Customers"
14239.0,"2011-10-27 14:40:00",13,2323.5000000000014,3,5,5,13,"Loyal Customers"
17107.0,"2011-11-07 08:41:00",7,10380.429999999991,3,5,5,13,"Loyal Customers"
13327.0,"2011-11-01 10:21:00",9,3617.5699999999983,3,5,5,13,"Loyal Customers"
15874.0,"2011-10-07 12:58:00",9,4330.67,3,5,5,13,"Loyal Customers"
17164.0,"2011-11-07 09:14:00",8,2466.4000000000005,3,5,5,13,"Loyal Customers"
14004.0,"2011-10-27 14:40:00",7,4582.640000000001,3,5,5,13,"Loyal Customers"
12594.0,"2011-11-02 12:20:00",11,3320.2199999999984,3,5,5,13,"Loyal Customers"
16477.0,"2011-10-07 09:44:00",7,2494.4600000000005,3,5,5,13,"Loyal Customers"
13317.0,"2011-10-06 19:21:00",9,2140.07,3,5,5,13,"Loyal Customers"
16875.0,"2011-10-06 19:20:00",9,2023.4700000000005,3,5,5,13,"Loyal Customers"
18226.0,"2011-11-01 09:57:00",14,5192.100000000004,3,5,5,13,"Loyal Customers"
18257.0,"2011-10-31 14:48:00",12,2265.38,3,5,5,13,"Loyal Customers"
13097.0,"2011-11-07 10:43:00",14,5893.319999999995,3,5,5,13,"Loyal Customers"
12939.0,"2011-10-06 14:33:00",8,11581.8,3,5,5,13,"Loyal Customers"
15296.0,"2011-10-26 16:33:00",10,3610.31,3,5,5,13,"Loyal Customers"
14842.0,"2011-11-04 13:09:00",8,2456.8,3,5,5,13,"Loyal Customers"
17396.0,"2011-10-31 14:12:00",8,7330.8,3,5,5,13,"Loyal Customers"
16316.0,"2011-10-06 13:48:00",12,2755.5600000000013,3,5,5,13,"Loyal Customers"
13552.0,"2011-10-04 15:19:00",16,3539.5300000000016,3,5,5,13,"Loyal Customers"
12484.0,"2011-11-07 11:37:00",8,4495.269999999998,3,5,5,13,"Loyal Customers"
14341.0,"2011-10-25 15:48:00",9,2166.379999999999,3,5,5,13,"Loyal Customers"
16556.0,"2011-10-04 11:36:00",7,3313.79,3,5,5,13,"Loyal Customers"
13340.0,"2011-10-25 13:15:00",7,10736.479999999992,3,5,5,13,"Loyal Customers"
12830.0,"2011-11-02 11:54:00",7,6748.4000000000015,3,5,5,13,"Loyal Customers"
16714.0,"2011-05-05 11:09:00",4,911.5299999999993,5,4,4,13,"Champions"
14952.0,"2011-10-24 13:50:00",15,7912.79,3,5,5,13,"Loyal Customers"
15299.0,"2011-10-03 14:19:00",11,3787.09,3,5,5,13,"Loyal Customers"
